Event ID,Event time,User name,Event name,Resource type,Resources,AWS access key,AWS region,Error code,Source IP address
d2041444-fd67-422c-92be-f38f6b4aaa2f,"2020-06-05, 11:17:05 PM",root,Subscribe,SNS Subscription and 1 more,"[{""resourceType"":""AWS::SNS::Subscription"",""resourceName"":""arn:aws:sns:us-east-1:910238821029:Default_CloudWatch_Alarms_Topic:2921d8b9-2ac1-436f-ad9d-c5afdd53e7c0""},{""resourceType"":""AWS::SNS::Topic"",""resourceName"":""arn:aws:sns:us-east-1:910238821029:Default_CloudWatch_Alarms_Topic""}]",,us-east-1,,67.247.24.19
f5b82a7c-9b29-44c9-8661-81fca4c72cdf,"2020-06-05, 11:16:10 PM",root,PutMetricAlarm,CloudWatch Alarm,"[{""resourceType"":""AWS::CloudWatch::Alarm"",""resourceName"":""AWS 5 Dollar Warning""}]",,us-east-1,,67.247.24.19
0d4e78d7-082d-434b-a889-6e3ff5cdbfa8,"2020-06-05, 11:15:45 PM",root,CreateTopic,SNS Topic,"[{""resourceType"":""AWS::SNS::Topic"",""resourceName"":""arn:aws:sns:us-east-1:910238821029:Default_CloudWatch_Alarms_Topic""}]",,us-east-1,,67.247.24.19
e4720d5e-df23-4cb0-b0d8-cad87f27349b,"2020-06-05, 11:15:45 PM",root,Subscribe,SNS Subscription and 1 more,"[{""resourceType"":""AWS::SNS::Subscription"",""resourceName"":""pending confirmation""},{""resourceType"":""AWS::SNS::Topic"",""resourceName"":""arn:aws:sns:us-east-1:910238821029:Default_CloudWatch_Alarms_Topic""}]",,us-east-1,,67.247.24.19
bcf782be-3e40-44a9-9dbe-1bd2ad5104ef,"2020-06-05, 11:12:11 PM",root,ConsoleLogin,,,,us-east-1,,67.247.24.19
c20af626-18f6-456a-9866-e439805435ec,"2020-06-05, 11:10:19 PM",CloudTrail,StopLogging,CloudTrail Trail,"[{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""arn:aws:cloudtrail:us-east-1:910238821029:trail/Udacity_Trail""}]",,us-east-1,,67.247.24.19
b33c1620-7431-448e-bfe5-eeffd876d9c0,"2020-06-05, 11:05:22 PM",CloudTrail,ConsoleLogin,,,,us-east-1,,67.247.24.19
ce295424-0c63-4714-8699-01f94044e93c,"2020-06-05, 11:05:17 PM",CloudTrail,ConsoleLogin,,,,us-east-1,,67.247.24.19
900c5441-73cf-4fa6-8585-0d4dd86a1bfd,"2020-06-05, 11:04:22 PM",Accountant,ChangePassword,,,,us-east-1,,AWS Internal
e9b2592d-365f-4d5e-86de-5336aaa41186,"2020-06-05, 11:04:14 PM",Accountant,ConsoleLogin,,,,us-east-1,,67.247.24.19
2ca2e4bb-ce5a-4716-b4d0-a374757543d5,"2020-06-05, 11:02:00 PM",CloudTrail,PutBucketPublicAccessBlock,S3 Bucket,"[{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""hchen1991-cloudtrail-example""}]",,us-east-1,AccessDenied,67.247.24.19
61d894bb-01fc-489a-827e-28c3686de24c,"2020-06-05, 11:02:00 PM",CloudTrail,CreateBucket,S3 Bucket,"[{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""hchen1991-cloudtrail-example""}]",,us-east-1,,67.247.24.19
5cebfb83-e5b5-4f73-b1a3-112d9cb6a8f1,"2020-06-05, 10:59:03 PM",CloudTrail,PutEventSelectors,CloudTrail Trail,"[{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""Udacity_Trail""},{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""arn:aws:cloudtrail:us-east-1:910238821029:trail/Udacity_Trail""}]",,us-east-1,,67.247.24.19
c272c571-b81a-4d84-8ad5-c1c4014f32ae,"2020-06-05, 10:59:03 PM",CloudTrail,StartLogging,CloudTrail Trail,"[{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""Udacity_Trail""}]",,us-east-1,,67.247.24.19
fedf8ff1-688c-43d6-ac14-5564bbca12b4,"2020-06-05, 10:59:03 PM",CloudTrail,CreateTrail,CloudTrail Trail and 1 more,"[{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""Udacity_Trail""},{""resourceType"":""AWS::CloudTrail::Trail"",""resourceName"":""arn:aws:cloudtrail:us-east-1:910238821029:trail/Udacity_Trail""},{""resourceType"":""AWS::S3::Bucket"",""resourceName"":""hchen1991-cloudtrail-2020""}]",,us-east-1,,67.247.24.19
